star_rating,title,content,date
10,What a great masterpiece movie,Fantastic gtreatest movie. Win the best motion picture award really.,"Feb 6, 2020"
10,"What a great movie, bravo","What a great movie, bravo.. bong direct this movie up to the mark. fantastic","Aug 14, 2019"
10,"One of the few films that can be granted the title of ""masterpiece"".",That's it. That's all I'm writing about this film. Now go watch it if you haven't already.,"Dec 20, 2019"
10,Really good,Good movie to watch when u are boring Really recommended!!,"Aug 14, 2019"
10,Scariest movie I've experienced.,This movie had me terrified the entire time which is incredibly rare. Easy 10. I've never experienced something like this.,"Mar 26, 2020"
10,A Grifter Great,"When you write a review this late into a movie's life, post-genre busting Oscar, nobody will read this stuff, so here goes nothing. I've always liked the con men / grifter genre because it's all about the glorious world of deceit, where nothing is as it seems. Typically the drama comes when the best laid plan falls apart, which it does so gloriously and tragically here. I'm looking forward to the black and white version, as there's a glorious luminosity to that format, and this picture really doesn't require color.","Feb 17, 2020"
10,A thrilling and hilarious masterpiece.,"Man, where do I even begin? Let's start with the technical aspects. It is shot very well, the production design is so good that I couldn't tell what was real and what wasn't, the acting is phenomenal (especially from Joon Ho favorite Kang-Ho Song), and the score is the best of the year so far.

And now for the story. Just wow. The script tackles so many complicated themes about society and class flawlessly, and it developes all of the characters perfectly. There are about 8 main characters, and they all feel like actual people and not objects for the story. The situation that the characters get in is very interesting and thrilling. This is the best film of the year, and one of the best ever. Just watch it.","Oct 10, 2019"
10,Well deserved an Oscar,It is pulling you into reality and at the same time to the illusion. Showing both side and connecting them well. Spectacular ending. Congrats!,"Nov 27, 2020"
10,It is a class-conscious thriller that you wouldn't want to miss!,"Saw Parasite yesterday. Something that we missed out during MAMI. What a brilliant gripping tale this is! It is a class-conscious thriller that you wouldn't want to miss.

To start with, it makes you laugh with its comic rendering. When you see the entire movie it defies all your expectations along the line. Bong Joon-ho crafts an intricate look at modern-day social hierarchies. He keeps you flipped on one mood then drastically changes it to the other while delivering some brilliant thematic elements. When you spend 132 minutes seeing this movie you encounter and experience: clever, humorous, dramatic and every other kind of emotion.

It is also a hilarious and irreverent take on South Korea's class warfare. I cannot overstate how refreshing Parasite is both as a genius piece of arthouse cinema, but also a very contemporary comedy of errors. Parasite is so sublime because it can be watched for pure entertainment value of a sly poor family manipulating gullible elites into paying them for various services, but Parasite also wades in deep waters of sympathy for its poor desperate souls.

It is an outstanding South Korean dark comedy that will stand up to the ages. Its final moments are so unsettling, and so unforgettable and impossible to estimate. It is a test that you undergo yourself and you're most likely to fail! 😊","May 8, 2020"
10,Parasite,"Bong Jon Hoo has created a masterpiece; Parasite hits every genre throughout the film from thriller, horror, comedy & mystery just to name a few. You never know what's going to come next & it had me at the edge of my seat from start to finish. I recommend watching the B&W version as it gives a different experience. One of my favorite films of all time, can't recommend this film enough; no wonder it's claimed every prize in the industry, throughly deserved!","Aug 23, 2022"
10,Dark Reality,"I can't get over how it ended, everything comes at a cost every decision has its consequence. It's dark realistic thrilling and sometimes funny. This fits to many different genres.","Jul 29, 2021"
10,Beautiful Masterpiece,"I just want to leave my opinion on this masterpiece, I love films from South Korea, and what makes me love them even more are these films that leave me thinking for three days in a row, the fact that the film always has several meanings and is brilliant I love the fact that every little detail always has a meaning, they are films like these with symbolism, mystery and messages to make the audience think that they are the best films for me!","Feb 4, 2020"
10,"It left me silent, then came tears.","Truly, something to remember. Thank god we have good film makers left. Everything in place. I Only hated that I could not undertand language, liked to think that I picked something on the way.","Jun 14, 2020"
10,This is what a parasite actually is,"Parasite was awesome. From the screenwriting to the acting, this was a film. This was a beautiful film. From the twist and turns it makes, to the surprise ending. Parasite had it all. I wish I was able to have seen it sooner but no theaters near me were playing it. But it's ok because I watched it and loved every second of it. The world this movie brings together, between wealthy and poor. This was a beautifully shot film and had me on the edge of my seat throughout the whole thing. I don't want to talk too much about the film because I don't want to spoil it, so please. Go see Parasite, you will not regret it.","Feb 24, 2020"
10,Best Movie ever made,"I really loved this movie, you should also at least give it a try.","Feb 14, 2020"
10,Uncomfortably good.,This isn't a feel-good movie. It is is the cold harsh reality of whatever the movie's message was. I was too grasped on the story itself to see the bigger picture. That could be the message itself. It really took my perspective of life and twisted it.,"Feb 19, 2020"
10,The Irritating Masterpiece,"The blurring of the rich-poor divide occurs when the poor family becomes increasingly entangled in the life of the wealthy family they pretend to serve. The usage of the home as a symbol emphasizes this theme, with the basement symbolizing the poor family's poverty and the upstairs signifying the affluent family's money and privilege.

The film also focuses on the concept of the ""parasitic single,"" which refers to adult children who live with their parents and are unable to leave owing to a lack of work and financial security. It also depicts the influence of capitalism on individuals and how difficult it is to break out from the cycle of poverty.

The film also emphasizes the topic of survival, as the impoverished family would go to any length to live, even if it means misleading and manipulating the wealthier family.

It's crucial to remember that this film is a social commentary and a mirror of present society's reality; it may be uncomfortable to see, but it's necessary to comprehend the message it's attempting to portray.

Bong Joon-ho directed the 2019 South Korean black comedy thriller film Parasite. The narrative follows the Kim family, an impoverished family of four living in a tiny semi-basement apartment. When the son, Ki-woo, is given the opportunity to teach the Park's daughter, they become entangled in the life of the rich Park family. As Ki-woo gets increasingly involved in the Parks' life, the rest of the Kim family begins to enter the Parks' lives in various ways, with each member taking on a position as a tutor or employee.

The film tackles issues of class struggle and social inequity, as the Kim family's actions set in motion a chain of events that reveal the two families' underlying tensions and secrets. The film also deals with themes of greed and the consequences of actions.

The performances of the ensemble, and the film's unusual combination of genres. It was the first South Korean film to win the Palme d'Or at the 2019 Cannes Film Festival. It also won Academy Awards for Best Picture, Best Director, and Best Original Screenplay, becoming Bong Joon-ho the first Asian director to win Best Director at the Oscars.

The film received widespread praise for its superb acting, director, storyline, and depiction of societal concerns and class conflict. It was also a box office triumph in South Korea and internationally.

When Parasite was released, it gained critical praise, with many applauding Bong Joon-directing.

Parasite is a complicated film that explores a variety of topics and subjects that may make viewers uncomfortable, including class disparity, poverty, and the rich's abuse of the poor. The film also addresses the concept of deceit, as the film's impoverished family pretends to be someone they are not in order to get entry to the rich household. Furthermore, the film's finale is unexpected and may be upsetting to some viewers.

It's natural for people to react differently to a film, and it's vital to remember that art is subjective and can elicit various feelings in different people.

Parasite is a thought-provoking and expertly constructed film that addresses complicated societal themes in an original and fascinating manner. Its unique combination of genres, great performances, and expert directing by Bong Joon-ho make it a must-see picture.","Jan 26, 2023"
10,Palme d'Or winner,"Outstanding balance between arthouse and mainstream. Solid acting, impressive direction, beautiful shooting, intense narration, unconvetional humor and story development. Brilliant.","Aug 3, 2020"
10,Once in a lifetime experience,"If you are hesitant to watch it because of the subtitles, don't be. This is a phenomenal movie which literally deserves it's own genre. It's intense, gritty yet subtle like- rollercoaster inside of a maze- type journey will leave you speechless at the end of this masterpiece.","Feb 22, 2020"
10,really awesome,"Best movie i've ever seen in decade, everything is so brilliant","Jun 25, 2019"
10,Wll crafted,"Cinematic Masterpiece with a mixed genre. A film that will hold you up and never bore you not even for a second. Its storyline, drastic drama which leaps up the story. Its an tecnical masterpiece cause Boon jong ho knows what he is doing and he crafted it well. If you asked is it the movie of the decade? Well, i can't tell it but it will be in the list. Haooy watch.","Feb 25, 2020"
10,Mazza,"Bit of a mazza throughout cannot lie. Mazza at the start, big mazza middle, mega mazza end. Overall, top mazza","Feb 12, 2020"
10,Caution: deeply unsettling,"To be honest, normally, I do not fancy such type of movies, especially asian movies, this one, well, it nearly kills you. It starts somehow slow, even boring, maybe a touch of comedy, but then, then the second half of it is just a nightmare focusing on society and it's negative aspects. This movie kept me awake for many hours at night and will always remind me of so many things like to be thankful for what you have and how to approach others. Check out yourself. For sure, one of the true oscar winners! Fully deserved!","Feb 17, 2020"
10,Amazing,"First off, I feel like you either get this movie or you don't, that simple. There Is so much thought provoking duality that comes into play, those who rate it poorly seem to miss this part of the story. I don't want to give spoilers but if you truly allow yourself to go on the emotional roller coaster that this movie is, it will leave you thinking about all the twists and turns for days.","Jan 17, 2020"
10,Fantastic movie,"Fantastic movie, I really liked it. History, script, actors, it was really a very good work.","Feb 17, 2020"
10,A masterpiece.,"This movie has it all. Great script, outstanding acting, the drama, the comedy, the thrill, the cinematography and an amazing director. Incredible movie.","Nov 3, 2019"
