review_type,sort_type,writing_date,star_rating,comment,upvote,downvote,site
viewer,like,2019.05.30. 15:11,별점(10점 만점 중)8,나 또한 누군가의 사람 사는 냄새에 얼굴 찌푸리진 않았었나..,"13,265",527,naver
viewer,like,2019.05.30. 21:57,별점(10점 만점 중)10,"누군가는 집을 잃고 모든 재산을 잃는 어마어마한 홍수가,누구에게는 그저 그 다음날 미세먼지가 없게 해주는, 집의 정원을 운치있게 만들어주는 장치일 뿐..","9,136",245,naver
viewer,like,2019.05.30. 10:52,별점(10점 만점 중)10,"시나리오, 연출, 배우 모두 좋았다.소름끼치게...","3,372",249,naver
viewer,like,2019.05.30. 10:59,별점(10점 만점 중)10,자조적인 웃음과 눈물이 난다. 영화가 끝나고도 이어지는 씁쓸한 뒷맛..,"2,933",168,naver
viewer,like,2019.05.30. 22:55,별점(10점 만점 중)10,인터폰에 이정은이 등장한 순간부터 장르가 바뀐다,"2,757",63,naver
viewer,like,2019.05.31. 07:22,별점(10점 만점 중)10,"특별히 미워하고 증오할만한 '악인'이 한명도 없기에 더욱 답답하고 우울했던 영화, 세상의 불평등 자체가 인간의 본성에 의한 숙명이라고 말하는것 같았기에...","2,427",107,naver
viewer,like,2019.05.30. 17:16,별점(10점 만점 중)10,말이 필요없는 영화 모두 꼭 한번쯤은 봐야할법한 영화입니다. 그리고 조여정이 개인적으로 크게 한껀 한것같습니다,"1,675",136,naver
viewer,like,2019.05.30. 18:08,별점(10점 만점 중)10,금방 보고 나왔는데...봉준호감독 영화인데 왜 박찬욱감독 영화를 본 느낌이지.어쨌든 최고다. 봉드로 역시 천재!!이정은님 연기상 줘야한다 진짜,"1,380",100,naver
viewer,like,2019.05.30. 12:47,별점(10점 만점 중)10,충격과 공포 절대 스포당하지 마세요.,"1,310",83,naver
viewer,like,2019.05.31. 01:56,별점(10점 만점 중)10,영화가 끝나고 집으로 돌아왔다. 지하철을 타고.,"1,137",55,naver
viewer,like,2019.06.01. 02:46,별점(10점 만점 중)10,"다수의 관객들이 '나는 박사장의 계층도, 기택의 반지하 계층에도 들지는 않는다'고 안도할 수 있을까요? 우리는 모두 나보다 낮은 계층의 사람들을 향해 냄새가 난다고 속으로 깔보는 두 얼굴을 가진 건 아닐까요? ... 영화 정말 훌륭합니다.",840,44,naver
viewer,like,2019.05.30. 17:21,별점(10점 만점 중)10,노플랜 노계획 우리인생은 계획대로 안된다는 말이 와닿았습니다,775,48,naver
viewer,like,2019.05.30. 12:03,별점(10점 만점 중)9,인정하기 싫지만 현대의 계급 사회를 조명.,614,41,naver
viewer,like,2019.06.01. 17:44,별점(10점 만점 중)10,가진 자들은 가지지 못한 자들에 대해 예의라는 거리 두기. 실은 경멸과 두려움. 가지지 못한 자들은 가진 자들에 대한 존경이라는 다가가기. 실은 비아냥과 질투. 계층간의 불쾌한 술래잡기.,518,24,naver
viewer,like,2019.05.31. 01:54,별점(10점 만점 중)10,"마지막 기우의 ""아버지, 전 계획을 세웠습니다.""하는 대사가 오래도록여운에 남을 것 같습니다. 계획 없이 사는 아버지와 식구들. 그 속에서 나름대로 나은 미래를 계획하는 기우. 시대의 초상을 적나라하고도 세련되게 담아주신 역작. 감사히 잘 보았습니다.",532,48,naver
viewer,like,2019.05.30. 12:02,별점(10점 만점 중)9,보는 내내 제목을 너무 잘 지었다는 생각이 들었다. 좋았던 영화,490,54,naver
viewer,like,2019.05.30. 22:52,별점(10점 만점 중)8,근데이게왜15세?ㄷㄷ19걸어야됨,387,33,naver
viewer,like,2019.05.30. 11:50,별점(10점 만점 중)10,조조관람 후 내내 가슴이 아프네요 우리의 현실 ...너무 어려운 질문을 던져주신 봉 감독님,393,48,naver
viewer,like,2019.05.30. 23:35,별점(10점 만점 중)10,누구나 기분나쁜영화.,366,53,naver
viewer,like,2019.05.30. 13:53,별점(10점 만점 중)10,그럼에도 계획을 세우게 만드는 영화,299,26,naver
viewer,like,2019.05.30. 23:27,별점(10점 만점 중)8,영화 보고 나서 내가 기생충인가 생각했음. 재미보다는 씁쓸한 기분,306,34,naver
viewer,like,2019.05.31. 01:05,별점(10점 만점 중)6,"영화제는  충격을  좋아하는  것  같다.  재밌고  신선하긴  한데  설국열차  못지않게  가슴을  많이  짓누른다.  빈부격차에  대한  표현이 너무  우울하고,  극단적이라  불편했다.",365,99,naver
viewer,like,2019.07.15. 10:27,별점(10점 만점 중)1,"이게 계급사회의 현실을 반영한 영화라고?  충분히 일 할 수 있는 상황에서 무력하게 걱정만 하고 지내다 사기와 술수로 편안하게 한몫 챙기고자 한, 그리고 결국은 아무 잘못 없는 한 가정을 파괴해버린 이 가정의 모습으로 하층민의 모습이 대변될 ...",547,288,naver
viewer,like,2019.05.30. 11:13,별점(10점 만점 중)10,뭔가 처음보는 선물 상자에서 생각지도 못한 멋진 물건들이 계속계속 짜잔 짜잔 하면서 나오는 느낌이랄까?그냥 미쳤다라는 말밖에 안나온다.꼭 보세요.미쳤다 진짜 와..,336,92,naver
viewer,like,2019.05.30. 11:50,별점(10점 만점 중)10,정말 충격적인 영화.... 정말 장르가 봉준호라는 말이 딱이다,281,43,naver
viewer,like,2019.05.30. 16:20,별점(10점 만점 중)10,오묘한 영화... 19세 관람이여야할듯,262,30,naver
viewer,like,2019.05.30. 14:12,별점(10점 만점 중)10,왜 상 받았는지 알 수 있는영화.  가볍게 오락성으로 볼만한 영화는 아닌듯합니다.,254,38,naver
viewer,like,2019.06.02. 09:10,별점(10점 만점 중)6,등급조정 진짜 필요해보임,231,31,naver
viewer,like,2019.06.04. 21:32,별점(10점 만점 중)2,야한장면과 잔인한 장면이 많은데 어째서 19금이 아닌건가요?? 15금이란 사실에 놀랐습니다,265,81,naver
viewer,like,2019.05.31. 18:53,별점(10점 만점 중)10,똥구정물이 역류하는 변기 뚜껑 위로 눌러 앉아 담배를 찾아 피우는 박소담의 표정이 내내 잊혀지지 않음,200,19,naver
viewer,like,2019.05.30. 17:20,별점(10점 만점 중)9,왜 칸느가 손을 들어줬는지 충분히 이해가 되는 영화. 작년 <어느가족> 보다 춸씬 메시지와 퀄리티 연출력이 출중하다. 봉준호 감독만이 펼칠수 있는 봉준호 감독만의 스타일이라 할수 있음. 반전도 좋고 특히 여운이 오래 남아서 가슴이 먹먹하다. 코믹굿,238,60,naver
viewer,like,2019.06.06. 21:28,별점(10점 만점 중)8,"등급조정이 필요합니다.15세에게 마약, 욕, 약간의 19금, 흉기 넘 자극적입니다",196,21,naver
viewer,like,2019.06.06. 22:16,별점(10점 만점 중)8,딸과 같이 봤는데 뇌를 씻고 싶다는 충격적인 이야기에 할 말을 잃었다. 청소년 관람가는 조정이 필요할 듯 보인다.,168,15,naver
viewer,like,2019.06.15. 14:14,별점(10점 만점 중)10,피자박스 접을 때가 행복했다.,142,3,naver
viewer,like,2019.07.01. 03:39,별점(10점 만점 중)6,봉준호의 선민의식이 잔뜩 들어간 영화. 조부그리고 부모까지 대대로 금수저 감독이 가난을 우아하게 희화하며 조롱한 영화.,182,43,naver
viewer,like,2019.06.09. 17:21,별점(10점 만점 중)2,"그냥 가난한 사람들이 범죄 저지른 영화인데,  빈부격차니 뭐니 잘 이해하기 힘들었다. 장면 하나하나 서로 결부시켜 이해하려했는데,..그냥 영화를 보는 내내  불쾌함이라던가 슬픔이라던가 신기하게도 하나도 느껴지지않았다. 그냥 이상했다",212,73,naver
viewer,like,2019.06.06. 19:32,별점(10점 만점 중)2,보고나서 기뷴이 안좋다 꼭 가난을 그렇게. 표현해야 했을까,192,54,naver
viewer,like,2019.06.05. 19:08,별점(10점 만점 중)1,"등급조정이 필요할듯, 말로 형용할 수 없는 불쾌함이 남는 영화",216,79,naver
viewer,like,2022.06.03. 23:23,별점(10점 만점 중)10,부모님이랑 같이 보기 힘들었다,150,19,naver
viewer,like,2019.06.02. 17:33,별점(10점 만점 중)2,노력하지 않고  남을 속이려는 사람들이 가난한 사람들로 그려져서 싫었다. 실제로는 부자들이 더 그런것 같은데 말이다. 가난해도 열심히 노력하며 행복하게 사는 사람들이 더 많다. 그런 사람들이 영화의 주인공이어야지. 그런 의미에서 돈주고 보기 ...,246,120,naver
viewer,like,2019.05.31. 22:56,별점(10점 만점 중)8,이건 19세다. 아들과봤음 클날뻔,132,7,naver
viewer,like,2019.06.07. 12:57,별점(10점 만점 중)1,계급에대한 불편함이 아니라 민폐가족 보기 짜증나서 뛰쳐나가고 싶었음 절대 절대 두번은 보기 싫은 영화,278,156,naver
viewer,like,2019.06.19. 14:23,별점(10점 만점 중)7,냄새난다는 말은 때때로 가난하다는 말보다 더 큰 분노를 일으킨다.,126,8,naver
viewer,like,2019.05.30. 19:47,별점(10점 만점 중)10,한치의 희망도 없는 영화가 내 현실로 녹아들다,141,23,naver
viewer,like,2020.03.12. 11:40,별점(10점 만점 중)10,티피컬하게 부자인 사람이 악인이 아니라서 좋았다.,116,6,naver
viewer,like,2019.05.30. 17:45,별점(10점 만점 중)8,봉감독에게 박찬욱의 냄새가 난다.,151,43,naver
viewer,like,2019.06.02. 16:22,별점(10점 만점 중)2,기분나빠지는 영화... 우울해지는영화,136,30,naver
viewer,like,2019.05.30. 18:34,별점(10점 만점 중)10,이제껏 쌓아 왔던 봉준호 감독의 필모그래피가 폭발하는 영화,132,35,naver
viewer,like,2020.10.03. 16:03,별점(10점 만점 중)10,빈부격차에 대한 현실이 참 슬프네요,127,37,naver
viewer,like,2019.06.02. 16:18,별점(10점 만점 중)1,19세 걸어야될듯... 민망한 장면이 한 둘이 아님 기대 안하고 보길 잘했다,113,30,naver
viewer,like,2019.06.17. 17:08,별점(10점 만점 중)2,보고나니 기분나쁜영화같네요. 멀쩡한 부자 망치는..,118,35,naver
viewer,like,2019.06.02. 00:41,별점(10점 만점 중)1,별로였음 취향이아님 잔인하고 찝찝 불쾌,129,46,naver
viewer,like,2019.06.02. 00:34,별점(10점 만점 중)1,본 영화 중에 최악이다작위적으로 만든 빈자들의 삶..너무 인공적이여서 감정이입이 안되엇음,201,118,naver
viewer,like,2019.06.23. 03:54,별점(10점 만점 중)6,음. 상을 탈 만한 작품인가...?.,118,36,naver
viewer,like,2019.06.04. 07:14,별점(10점 만점 중)6,저는 별로엿습니다..,122,40,naver
viewer,like,2019.10.04. 03:17,별점(10점 만점 중)10,영화 끝부분에 인디언 모자를 쓴 송강호의 모습이 클로즈업 될 때 그 표정을 잊을 수가 없다,94,13,naver
viewer,like,2020.03.04. 00:01,별점(10점 만점 중)10,빈곤과 도시빈민의 맨얼굴.. 가난을 수중에 돈이 없는 상태로만 안다면 이해할 수 없을 것. 가난이란 더 나은 삶을 준비할 의지와 꿈이 박탈 된 상태,89,10,naver
viewer,like,2019.05.31. 17:27,별점(10점 만점 중)1,기분 나쁘고 비현실적이고 쓸데없이 잔인함.,123,44,naver
viewer,like,2021.05.11. 21:57,별점(10점 만점 중)10,무슨 말이 필요한가요. 명작!,99,25,naver
viewer,like,2019.05.30. 19:59,별점(10점 만점 중)10,조조로 봤는데 하루종일 영화생각난다.,90,17,naver
viewer,like,2019.05.30. 17:03,별점(10점 만점 중)10,첨엔 웃다가 중간부터 긴장을 늦출수없었네.. 불편한 부분도 있었지만.. 보고나서도 계속 생각나고 생각하게 한다~ 엄청 대중적인 영화는 아님. 봉준호감독의 장기가 능수능란하게 펼쳐진다~ 댓글로 스포일러하지마시길,94,21,naver
viewer,like,2019.06.05. 14:27,별점(10점 만점 중)7,그냥 봉준호 영화. 칸에서 수상했다고 다 훌륭한 것은 아닐 수도...,91,19,naver
viewer,like,2019.06.03. 14:49,별점(10점 만점 중)1,보면볼수록 찝찝함이 남는영화,98,28,naver
viewer,like,2019.06.11. 18:59,별점(10점 만점 중)6,과유불급 은혜를 원수로 갚는다. 가난한 사람들 이미지만 더 안좋아지는 영화가 아닌지 ...  가난한 사람들 상종하기 싫어지는 ...,78,10,naver
viewer,like,2019.06.02. 18:32,별점(10점 만점 중)2,재미가 없다기 보다 기분나쁜 영화임. 가족끼리 연인과 함께보는거 비추천. 집에서 다운받아서 보셈..,89,22,naver
viewer,like,2020.03.23. 17:46,별점(10점 만점 중)8,심장 쫄깃해서 죽는줄...,76,11,naver
viewer,like,2019.06.05. 14:43,별점(10점 만점 중)2,15세 관람 등급에 놀람.,80,19,naver
viewer,like,2019.06.05. 14:33,별점(10점 만점 중)3,이내용은 흐름ㆍ맥락상  19세이상 관람입니다~,65,6,naver
viewer,like,2020.08.23. 11:34,별점(10점 만점 중)10,최고의 영화...예고편으로 아무것도 설명할수 없음.,74,18,naver
viewer,like,2019.06.10. 19:10,별점(10점 만점 중)1,영화의 분위기와 서사가 불쾌한 감정을 주는데 경이로운 불쾌함이 아닌 기억하고 싶지 않은 향기다.  돈을 주고 이런 감정을 사게 되어 후회스럽다.,82,26,naver
viewer,like,2019.06.08. 05:29,별점(10점 만점 중)8,이렇게 기분을 더럽게 하는 영화가 있는가?,57,3,naver
viewer,like,2019.05.30. 20:17,별점(10점 만점 중)8,15세 보다는 수위가 좀 ㅎㅎ 보면서 긴장도 되고 재밌어요~,63,10,naver
viewer,like,2019.05.30. 16:45,별점(10점 만점 중)10,보고있는데 재밌지만 마음 한 구석이 답답했다,61,9,naver
viewer,like,2019.06.11. 22:17,별점(10점 만점 중)2,보고나와서 감정이 불안해지고 안좋습니다. 기분 더럽네요 어두운 이야기 끝까지 답없게 만듦어린아이들이 안봤으면 좋겠어요그냥 현실의 잔인함 만 나왔어요따뜻함은 없네요.영화 감상후 인생에 희망을 못 느끼게 만듭니다. 배우들 연기력은 좋았어요.,71,20,naver
